DaysPostVax,Animal,OD,Group
wk4,5.5,0.6766,EcA
wk4,12.1,0.0194,Ec
wk4,12.2,0.0384,Ec
wk4,12.3,0.02765,Ec
wk4,12.4,0.01335,Ec
wk4,12.5,0.046,Ec
wk4,12.6,0.042,Ec
wk4,12.7,0.01865,Ec
wk4,13.1,0.0123,Ec
wk4,13.2,0.01525,Ec
wk4,13.3,0.0351,Ec
wk4,13.4,0.0217,Ec
wk4,13.5,0.0282,Ec
wk4,13.6,0.01285,Ec
wk4,14.1,0.03865,Ec
wk4,14.2,0.05355,Ec
wk4,14.3,0.02435,Ec
wk4,14.4,0.0371,Ec
wk4,14.5,0.0359,Ec
wk4,14.6,0.027,Ec
wk4,14.7,0.02645,Ec
wk4,14.8,0.03345,Ec
wk4,15.1,0.02145,Ec
wk4,15.2,0.04755,Ec
wk4,15.3,0.0244,Ec
wk4,15.4,0.08045,Ec
wk4,15.5,0.2491,Ec
wk4,16.2,0.1056,Ec
wk4,16.3,0.1171,Ec
wk4,16.4,0.1868,Ec
wk4,16.5,0.1562,Ec
d28/wk4,16.6,0.2016,Ec
d35/wk5,1.2,0.0699,EcA
wk5,1.3,0.09465,EcA
wk5,1.5,0.02075,EcA
wk5,1.6,0.0162,EcA
wk5,1.7,0.0503,EcA
wk5,2.1,0.24115,EcA
wk5,2.2,0.201,EcA
wk5,2.3,0.4172,EcA
wk5,2.4,0.29365,EcA
wk5,2.5,0.41625,EcA
wk5,2.6,0.2294,EcA
wk5,3.1,0.9861,EcA
wk5,3.2,2.81165,EcA
wk5,3.3,2.7989,EcA
wk5,3.4,2.5443,EcA
wk5,4.1,0.07665,EcA
wk5,4.2,0.59665,EcA
wk5,4.3,0.56825,EcA
wk5,4.4,0.6957,EcA
wk5,4.5,0.52035,EcA
wk5,5.1,0.9017,EcA
wk5,5.2,0.92185,EcA
wk5,5.3,0.97755,EcA
wk5,5.4,0.99785,EcA
wk5,5.5,0.93195,EcA
wk5,12.1,0.0692,Ec
wk5,12.2,0.04795,Ec
wk5,12.4,0.07575,Ec
wk5,12.5,0.07355,Ec
wk5,12.6,0.0521,Ec
wk5,12.7,0.0524,Ec
wk5,13.1,0.12915,Ec
wk5,13.2,0.12375,Ec
wk5,13.3,0.1119,Ec
wk5,13.4,0.1877,Ec
wk5,13.5,0.19445,Ec
wk5,13.6,0.1129,Ec
wk5,14.1,0.0772,Ec
wk5,14.2,0.00255,Ec
wk5,14.3,0.2444,Ec
wk5,14.4,0.0777,Ec
wk5,14.5,0.0614,Ec
wk5,14.6,0.0874,Ec
wk5,14.7,0.0923,Ec
wk5,14.8,0.0017,Ec
wk5,15.1,0.0149,Ec
wk5,15.2,0.14495,Ec
wk5,15.3,0.04435,Ec
wk5,15.4,0.07405,Ec
wk5,15.5,0.06355,Ec
wk5,16.1,0.0392,Ec
wk5,16.2,0.0342,Ec
wk5,16.3,0.0642,Ec
wk5,16.4,0.05925,Ec
wk5,16.5,0.07055,Ec
d35/wk5,16.6,0.0084,Ec
d42/wk6,1.1,0.0493,EcA
wk6,1.2,0.0101,EcA
wk6,1.3,0.0598,EcA
wk6,1.4,0.1345,EcA
wk6,1.5,0.0818,EcA
wk6,1.6,0.05385,EcA
wk6,1.7,0.1683,EcA
wk6,2.1,0.10845,EcA
wk6,2.2,0.0936,EcA
wk6,2.3,0.1128,EcA
wk6,2.4,0.081,EcA
wk6,2.5,0.09075,EcA
wk6,2.6,0.08995,EcA
wk6,3.1,1.5946,EcA
wk6,3.2,1.66625,EcA
wk6,3.3,1.63105,EcA
wk6,3.4,1.3077,EcA
wk6,4.1,0.2062,EcA
wk6,4.2,0.285,EcA
wk6,4.3,0.26,EcA
wk6,4.4,0.2981,EcA
wk6,4.5,0.20815,EcA
wk6,5.1,0.3442,EcA
wk6,5.2,0.4577,EcA
wk6,5.3,0.49225,EcA
wk6,5.4,0.5176,EcA
wk6,5.5,0.4003,EcA
wk6,12.1,0.0856,Ec
wk6,12.2,0.00405,Ec
wk6,12.3,0.05245,Ec
wk6,12.4,0.04235,Ec
wk6,12.5,0.0725,Ec
wk6,12.6,0.07905,Ec
wk6,12.7,0.0604,Ec
wk6,13.1,0.0051,Ec
wk6,13.2,0.00355,Ec
wk6,13.3,0.0455,Ec
wk6,13.4,0.0021,Ec
wk6,13.5,0.00625,Ec
wk6,13.6,0.03775,Ec
wk6,14.1,0.0771,Ec
wk6,14.2,0.0801,Ec
wk6,14.3,0.0689,Ec
wk6,14.4,0.0468,Ec
wk6,14.5,0.091,Ec
wk6,14.7,0.14,Ec
wk6,14.8,0.08185,Ec
wk6,15.1,0.14825,Ec
wk6,15.2,0.07915,Ec
wk6,15.3,0.0715,Ec
wk6,15.4,0.11795,Ec
wk6,15.5,0.09,Ec
wk6,16.1,0.1805,Ec
wk6,16.2,0.0498,Ec
wk6,16.3,0.05445,Ec
wk6,16.4,0.00575,Ec
wk6,16.5,0.1947,Ec
d42/wk6,16.6,0.0481,Ec
d49/wk7,1.1,0.12735,EcA
wk7,1.2,0.17455,EcA
wk7,1.3,0.09265,EcA
wk7,1.5,0.10465,EcA
wk7,1.6,0.06245,EcA
wk7,1.7,0.0635,EcA
wk7,2.1,0.1302,EcA
wk7,2.2,0.1443,EcA
wk7,2.4,0.0869,EcA
wk7,2.5,0.0934,EcA
wk7,2.6,0.1305,EcA
wk7,3.2,1.623,EcA
wk7,3.3,2.09095,EcA
wk7,5.1,0.48345,EcA
wk7,5.2,0.4197,EcA
wk7,5.3,0.5887,EcA
wk7,5.5,0.57755,EcA
wk7,12.1,0.0618,Ec
wk7,12.2,0.0707,Ec
wk7,12.3,0.13125,Ec
wk7,12.5,0.0904,Ec
wk7,12.6,0.09705,Ec
wk7,12.7,0.04555,Ec
wk7,13.1,0.04365,Ec
wk7,13.2,0.0434,Ec
wk7,13.3,0.05065,Ec
wk7,13.4,0.0625,Ec
wk7,13.5,0.01275,Ec
wk7,13.6,0.0583,Ec
wk7,14.1,0.08115,Ec
wk7,14.2,0.137,Ec
wk7,14.3,0.03535,Ec
wk7,14.4,0.0513,Ec
wk7,14.5,0.0872,Ec
wk7,14.6,0.0676,Ec
wk7,14.7,0.0827,Ec
wk7,14.8,0.06175,Ec
wk7,15.1,0.05125,Ec
wk7,15.2,0.06765,Ec
wk7,15.3,0.07535,Ec
wk7,15.4,0.0595,Ec
wk7,16.1,0.04045,Ec
wk7,16.4,0.02,Ec
wk7,16.5,0.036,Ec
d49/wk7,16.6,0.0604,Ec
d56/wk8,1.1,0.01905,EcA
wk8,1.2,0.031,EcA
wk8,1.3,0.0461,EcA
wk8,1.5,0.0761,EcA
wk8,1.6,0.1015,EcA
wk8,1.7,0.0313,EcA
wk8,2.1,0.0617,EcA
wk8,2.2,0.152,EcA
wk8,2.4,0.04705,EcA
wk8,2.5,0.0551,EcA
wk8,2.6,0.056,EcA
wk8,3.2,0.8455,EcA
wk8,3.3,0.8588,EcA
wk8,3.4,0.66285,EcA
wk8,5.1,0.23495,EcA
wk8,5.2,0.3276,EcA
wk8,5.3,0.2146,EcA
wk8,5.5,0.2222,EcA
wk8,12.1,0.0555,Ec
wk8,12.2,0.0334,Ec
wk8,12.3,0.0308,Ec
wk8,12.5,0.06885,Ec
wk8,12.6,0.0689,Ec
wk8,12.7,0.04225,Ec
wk8,14.1,0.0445,Ec
wk8,14.2,0.04555,Ec
wk8,14.3,0.02505,Ec
wk8,14.4,0.02375,Ec
wk8,14.5,0.0265,Ec
wk8,14.6,0.0481,Ec
wk8,14.7,0.0521,Ec
wk8,14.8,0.02375,Ec
wk8,15.1,0.0325,Ec
wk8,15.2,0.01825,Ec
wk8,15.3,0.0453,Ec
wk8,15.4,0.0555,Ec
wk8,16.1,0.0328,Ec
wk8,16.4,0.0424,Ec
wk8,16.5,0.16255,Ec
d56/wk8,16.6,0.05165,Ec
d63/wk9,1.1,0,EcA
wk9,1.2,0,EcA
wk9,1.3,0.1494,EcA
wk9,1.5,0.33295,EcA
wk9,1.6,0.0167,EcA
wk9,1.7,0.1064,EcA
wk9,2.1,0.2066,EcA
wk9,2.2,0.01875,EcA
wk9,2.4,0.34845,EcA
wk9,2.5,0.26745,EcA
wk9,3.2,0.8284,EcA
wk9,3.3,1.07535,EcA
wk9,3.4,0.81295,EcA
wk9,5.1,0.1415,EcA
wk9,5.2,0.1194,EcA
wk9,5.3,0.32185,EcA
wk9,5.5,0.1346,EcA
wk9,12.1,0.26825,Ec
wk9,12.2,0.016,Ec
wk9,12.3,0,Ec
wk9,12.5,0.05935,Ec
